3963.9714	379.8498	0.3998	0.641125167
4304.9258	340.9544	0.329	0.51776543
4606.6377	301.7119	0.3294	0.465559191
4885.9741	279.3364	0.2919	0.440124948
5145.5381	259.564	0.2764	0.401998221
5391.0874	245.5493	0.2653	0.383120151
5625.6987	234.6113	0.2722	0.38010121
5848.25	222.5513	0.2436	0.365285915
6060.3823	212.1323	0.2434	0.344361031
6264.6377	204.2554	0.2751	0.367319439
6460.4253	195.7876	0.2134	0.348166009
6651.5981	191.1728	0.2577	0.334587582
6834.436	182.8379	0.3127	0.405204368
7012.3594	177.9234	0.2504	0.40060136
7180.3794	168.02	0.3014	0.39184451
7345.3086	164.9292	0.2649	0.401265461
